name,category,instructions,glass,glass-size,ingredients,measurements
Lemon Crush,Vodka,Rim chilled cocktail glass with lemon and sugar. Shake ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces," Lemon wedge, superfine sugar,  Citrus-flavored vodka,  Crema di limoncello,  Triple Sec,  Lemon juice","For glass  Lemon wedge, superfine sugar, 1 1/2 oz  Citrus-flavored vodka, 1/2 oz  Crema di limoncello, 1/2 oz  Triple Sec, 1 oz  Lemon juice"
Rye Whiskey Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces," Bitters,  Powdered Sugar,  Rye Whiskey","1 oz  Bitters, 1 oz  Powdered Sugar, 2 oz  Rye Whiskey"
Leaves Of Grass,Vodka,Stir with ice and strain into ice-filled old-fashioned glass. Add celery stick.,Old-Fashioned Glass,6 to 8 ounces," Aquavit,  Old Tom gin,  Demerara Syrup,  Orange Bitters,  Absinthe,  Celery stick","1 1/2 oz  Aquavit, 1/2 oz  Old Tom gin, 1/2 oz  Demerara Syrup, 2 oz  Orange Bitters, 1 oz  Absinthe,   Celery stick"
Widow's Dream,Cocktail Classics,Shake with ice and strain into cocktail glass. Float one teaspoon of sweet cream on top.,Cocktail Glass,6 or more ounces," Benedictine,  Whole Egg","1 1/2 oz  Benedictine, 1 oz  Whole Egg"
Whiskey Flip,Cocktail Classics,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Powdered Sugar,  Blended whiskey,","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1 oz  Blended whiskey, 2 oz  Light Cream (if desired)"
L.A. Sunrise,Vodka,Shake first four ingredients with ice. Strain into ice-filled hurricane or parfait glass. Float rum on top. Garnish with lime and cherry.,Hurricane Glass,14 to 20 ounces," Vodka,  Creme de baa,  Lemon juice,  Pineapple Juice,  Dark rum,  Lime wheel, maraschino cherry","1 oz  Vodka, 1 oz  Creme de baa, 2 oz  Lemon juice, 2 oz  Pineapple Juice, 1/4 oz  Dark rum,   Lime wheel, maraschino cherry"
White Rose Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Orange Juice,  Lime Juice,  Maraschino,  Egg White","3/4 oz  Gin, 1 oz  Orange Juice, 1 oz  Lime Juice, 1/2 oz  Maraschino, 1 oz  Egg White"
White Plush,Cocktail Classics,Shake with ice and strain into collins glass.,Collins Glass,14 to 16 ounces," Blended whiskey,  Milk,  Powdered Sugar","2 oz  Blended whiskey, 1 oz  Milk, 1 oz  Powdered Sugar"
White Elephant,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Sweet Vermouth,  Egg White","1 1/2 oz  Gin, 1 oz  Sweet Vermouth, 1 oz  Egg White"
Whiskey Toddy (cold),Cocktail Classics,"Stir sugar and water in a mug. Add ice cubes and whiskey, and stir. Add a twist of lemon peel.",Mug,," Powdered Sugar,  Water,  Blended whiskey","1/2 oz  Powdered Sugar, 2 oz  Water, 2 oz  Blended whiskey"
Kretchma Cocktail,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  White creme de cacao,  Lemon juice,  Grenadine","1 oz  Vodka, 1 oz  White creme de cacao, 1/4 oz  Lemon juice, 1/4 oz  Grenadine"
Whiskey Skin,Cocktail Classics,"Put lump of sugar into hot punch cup and fill two-thirds with boiling water. Add 2 oz. Blended Whiskey. Stir, then add a twist of lemon peel.",Punch Cup,3 to 4 ounces,"lump of sugar, boiling water,  blended whiskey, lemon peel","1 lump of sugar,  boiling water, 2 oz  blended whiskey,  lemon peel"
Whiskey Milk Punch,Cocktail Classics,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces," Powdered Sugar,  Blended whiskey","1 oz  Powdered Sugar, 2 oz  Blended whiskey, 8 Milk "
Katana,Vodka,Muddle 3 cucumber slices in mixing glass. Add remaining ingredients. Shake with ice. Double-strain into chilled cocktail glass. Garnish with cucumber slice.,Cocktail Glass,6 or more ounces," Cucumber slices,  Vodka,  Sake,  Lemon juice,  Simple Syrup,  Cucumber","3 oz  Cucumber slices, 1 1/2 oz  Vodka, 1/2 oz  Sake, 3/4 oz  Lemon juice, 3/4 oz  Simple Syrup, 1 oz  Cucumber"
Ethel Duffy Cocktail,Brandy,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Apricot-Flavored Brandy,  White creme de menthe,  Triple Sec","3/4 oz  Apricot-Flavored Brandy, 3/4 oz  White creme de menthe, 3/4 oz  Triple Sec"
Daiquiri,Cocktail Classics,Shake with ice and strain into a chilled cocktail glass.,Cocktail Glass,6 or more ounces," Light Rum,  Lemon juice,  Simple Syrup","2 oz  Light Rum, 3/4 oz  Lemon juice, 3/4 oz  Simple Syrup"
Wembley Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Gin,  Apricot-Flavored Brandy,  Apple Brandy","3/4 oz  Dry Vermouth, 1 1/2 oz  Gin, 1/4 oz  Apricot-Flavored Brandy, 1/2 oz  Apple Brandy"
Weep-No-More Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lime Juice,  Dubonnet,  Brandy,  Maraschino","1/2 oz  Lime Juice, 3/4 oz  Dubonnet, 3/4 oz  Brandy, 1/4 oz  Maraschino"
Jungle Juice,Vodka,Shake with ice and pour with ice into ice-filled Collins glass. Garnish with orange and cherry.,Collins Glass,14 to 16 ounces," Vodka,  Light Rum,  Triple Sec Cranberry Juice, orange juice, pineapple juice, lemon juice,  Simple Syrup,  Orange wheel, maraschino cherry","1 oz  Vodka, 1 oz  Light Rum, 1/2 oz  Triple Sec, 1 oz  each Cranberry Juice, orange juice, pineapple juice, lemon juice, 1 oz  Simple Syrup,   Orange wheel, maraschino cherry"
Wedding Belle Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Orange Juice,  cherry-flavored brandy,  Gin,  Dubonnet","1 1/2 oz  Orange Juice, 1 1/2 oz  cherry-flavored brandy, 3/4 oz  Gin, 3/4 oz  Dubonnet"
Waterloo,Cocktail Classics,Pour rum and orange juice over ice in an old-fashioned glass. Stir. Float Mandarine Napoleon on top.,Old-Fashioned Glass,6 to 8 ounces," Light Rum,  Orange Juice,  Mandarine Napoleon Liqueur","1 oz  Light Rum, 3 oz  Orange Juice, 1/2 oz  Mandarine Napoleon Liqueur"
Waterbury Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Powdered Sugar,  Lemon Juice,  Egg White,  Brandy,  Grenadine","1/2 oz  Powdered Sugar, 1/4 oz  Lemon Juice, 1 oz  Egg White, 1 1/2 oz  Brandy, 1/2 oz  Grenadine"
Washington Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Brandy,  Bitters,  Sugar Syrup","1 1/2 oz  Dry Vermouth, 3/4 oz  Brandy, 2 oz  Bitters, 1/2 oz  Sugar Syrup"
The Jamaican Ten Speed,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Melon liqueur,  Creme de baa,  Coconut-flavored rum,  half-and-half","1 oz  Vodka, 3/4 oz  Melon liqueur, 1/4 oz  Creme de baa, 1/4 oz  Coconut-flavored rum, 1/2 oz  half-and-half"
Twin Six Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Sweet Vermouth,  Grenadine,  Orange Juice,  Egg White","1 oz  Gin, 1/2 oz  Sweet Vermouth, 1/4 oz  Grenadine, 1 oz  Orange Juice, 1 oz  Egg White"
Jackie-O,Vodka,Rim chilled large cocktail glass with lime wedge and pink sugar. Shake first six ingredients with ice and strain into glass. Top with Champagne. Garnish with orange and lime.,Cocktail Glass,6 or more ounces," Lime wedge, pink sanding sugar Citrus-flavored vodka, orange-flavored vodka,  Creme de Cassis,  Apricot nectar Lemon juice, cranberry juice,  Chilled Champagne,  Orange half-wheel, lime wheel","For glass  Lime wedge, pink sanding sugar, 1/2 oz  each Citrus-flavored vodka and orange-flavored vodka, 1/2 oz  Creme de Cassis, 1 oz  Apricot nectar, 1/2 oz  each Lemon juice and cranberry juice,   Chilled Champagne,  Orange half-wheel, lime wheel"
Tropical Heart,Cocktail Classics,Pour ingredients into Irish coffee cup and stir. Garnish with a cinnamon stick.,Irish Coffee Glass,8 to 9 ounces," Hot Shot Tropical Fruit Liqueur,  Hot Apple Cider","1 oz  Hot Shot Tropical Fruit Liqueur,   Hot Apple Cider"
Trois Rivieres,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes. Add a twist of orange peel.,Old-Fashioned Glass,6 to 8 ounces," Canadian whisky,  Dubonnet,  Triple Sec","1 1/2 oz  Canadian whisky, 1 oz  Dubonnet, 1 1/2 oz  Triple Sec"
Tovarich Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Kummel,  Lime Juice","1 1/2 oz  Vodka, 3/4 oz  Kummel, 1/2 oz  Lime Juice"
Italian Screwdriver,Vodka,Rim hurricane glass with lime wedge and sugar; fill with ice. Shake remaining ingredients with ice. Strain into glass. Garnish with lime.,Hurricane Glass,14 to 20 ounces," Lime wedge, superfine sugar,  Citrus-flavored vodka,  Orange juice,  Grapefruit Juice,  Ginger ale,  Lime wheel","For glass  Lime wedge, superfine sugar, 1 1/2 oz  Citrus-flavored vodka, 3 oz  Orange juice, 2 oz  Grapefruit Juice, 1 oz  Ginger ale,   Lime wheel"
T.N.T. Cocktail No. 2,Cocktail Classics,Mix with ice in an old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Tequila,  Tonic","1 oz  Tequila,   Tonic"
T.N.T. Cocktail No. 1,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Blended whiskey,  Anis","1 1/2 oz  Blended whiskey, 1 1/2 oz  Anis"
Ibiza,Vodka,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces," Orange-flavored vodka,  Campari,  Grapefruit Juice,  Pomegranate molasses,  Peach schnapps,  Apple schnapps, grapefruit twist","1 oz  Orange-flavored vodka, 1/2 oz  Campari, 1 oz  Grapefruit Juice, 1 oz  Pomegranate molasses, 1 oz  Peach schnapps, 1 oz  Apple schnapps, grapefruit twist"
Thunder,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Powdered Sugar,  Egg Yolk,  Brandy,  Cayenne Pepper","1 oz  Powdered Sugar, 1 oz  Egg Yolk, 1 1/2 oz  Brandy, 1 oz  Cayenne Pepper"
Huntsman Cocktail,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Jamaica Rum,  Lemon juice,  Simple Syrup","1 1/2 oz  Vodka, 1/2 oz  Jamaica Rum, 1/2 oz  Lemon juice, 1/2 oz  Simple Syrup"
Tequila Fizz,Cocktail Classics,Shake well with ice and strain into collins glass over ice cubes. Fill with ginger ale and stir.,Collins Glass,14 to 16 ounces," Tequila,  Grenadine,  Lemon Juice,  Egg White","2 oz  Tequila, 3/4 oz  Grenadine, 1 oz  Lemon Juice, 1 oz  Egg White"
Humpty Dumpty,Vodka,Shake without ice. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Orange juice,  Galliano,  Whole Egg,  Peychaud's Bitters","2 oz  Vodka, 1 oz  Orange juice, 1/2 oz  Galliano, 1 oz  Whole Egg, 3 oz  Peychaud's Bitters"
Tequila Cocktail,Cocktail Classics,Shake ingredients with crushed ice and strain into a cocktail glass. Garnish with a lemon slice.,Cocktail Glass,6 or more ounces," Tequila,  Lemon Juice,  Grenadine,  Egg White","2 oz  Tequila, 1/2 oz  Lemon Juice, 4 oz  Grenadine, 1 oz  Egg White"
Temptation Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Add twists of lemon and orange peel.,Cocktail Glass,6 or more ounces," Blended whiskey,  Triple Sec,  Anis,  Dubonnet","1 1/2 oz  Blended whiskey, 1/2 oz  Triple Sec, 1/2 oz  Anis, 1/2 oz  Dubonnet"
Tchoupitolas Street Guzzle,Cocktail Classics,Pour rum into highball glass over ice cubes. Add ginger beer.,Highball Glass,7 to 10 ounces," Light Rum,  Ginger beer","1 oz  Light Rum,   Ginger beer"
Tahitian Tea,Cocktail Classics,"In a highball glass, mix 1/2 oz. each of Gin, Light Rum, Vodka, and Hot Shot Tropical Fruit Liqueur. Add 1 oz. each of 7-Up, cranberry juice, and orange juice. Stir.",Highball Glass,7 to 10 ounces," Gin,  Light Rum,  Vodka,  Hot Shot Tropical Fruit Liqueur,  7-Up Cranberry Juice,orange juice","1/2 oz  Gin, 1/2 oz  Light Rum, 1/2 oz  Vodka, 1/2 oz  Hot Shot Tropical Fruit Liqueur, 1 oz  7-Up, 1 oz  each Cranberry Juice and orange juice"
Limey ,Cocktail Classics,Combine ingredients and a half-cup of crushed ice in an electric blender. Blend at low speed and pour into champagne flute. Add a twist of lime peel.,Champagne Flute,6 to 8 ounces," Light Rum,  Lime Liqueur,  Triple Sec,  Lime Juice","1 oz  Light Rum, 1 oz  Lime Liqueur, 1/2 oz  Triple Sec, 2 oz  Lime Juice"
Headless Horseman,Vodka,"Pour vodka and bitters into Collins glass. Add ice, fill with ginger ale, and stir. Garnish with orange.",Collins Glass,14 to 16 ounces," Vodka,  Angostura Bitters,  Ginger ale","2 oz  Vodka, 3 oz  Angostura Bitters,   Ginger ale,  Orange wheel "
Love Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sloe gin,  Egg White,  Lemon Juice,  Raspberry Juice","2 oz  Sloe gin, 1 oz  Egg White, 1/2 oz  Lemon Juice, 1/2 oz  Raspberry Juice"
Los Angeles Cocktail,Cocktail Classics,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces," Lemon Juice,  Powdered Sugar,  Whole Egg,  Sweet Vermouth,  Blended whiskey","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1 oz  Whole Egg, 1/4 oz  Sweet Vermouth, 1 1/2 oz  Blended whiskey"
Long Island Tea,Cocktail Classics,Combine ingredients and pour over ice in tall glass. Add a dash of cola for color. Garnish with slice of lemon.,Highball Glass,7 to 10 ounces," Vodka,  Gin,  Light Rum,  Tequila,  Lemon Juice","1/2 oz  Vodka, 1/2 oz  Gin, 1/2 oz  Light Rum, 1/2 oz  Tequila, 1/2 oz  Lemon Juice,  Cola "
Harvey Wallbanger,Vodka,Stir vodka and orange juice in Collins glass. Add ice and stir again. Float Galliano on top.,Collins Glass,14 to 16 ounces," Vodka,  Lemon juice,  Galliano","1 oz  Vodka, 4 oz  Lemon juice, 1/2 oz  Galliano"
Lime Giant,Cocktail Classics,Put ice cubes in collins glass and add lime vodka. Fill with lemon and lime soda. Decorate with a slice of lime.,Collins Glass,14 to 16 ounces," Lime Vodka,  Lemon-lime soda","2 oz  Lime Vodka,   Lemon-lime soda"
Lil Naue,Cocktail Classics,Shake with ice and strain into wine glass. Sprinkle cinnamon on top.,Red-Wine Glass,12 to 24 ounces," Brandy,  Port,  Apricot-Flavored Brandy,  Powdered Sugar,  Egg Yolk","1 oz  Brandy, 1/2 oz  Port, 1/2 oz  Apricot-Flavored Brandy, 1 oz  Powdered Sugar, 1 oz  Egg Yolk"
Harrington,Vodka,Stir with ice and strain into chilled cocktail glass. Add orange zest.,Cocktail Glass,6 or more ounces," Vodka,  Triple Sec,  Green Chartreuse","1 1/2 oz  Vodka, 1/4 oz  Triple Sec, 1 oz  Green Chartreuse,  Orange zest "
El Profesor,Brandy,Stir with ice and strain into chilled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces," Pisco,  Punt e Mes,  Benedictine,  Aromatic bitters,  Lemon twist","1 oz  Pisco, 1/2 oz  Punt e Mes, 1/2 oz  Benedictine, 2 oz  Aromatic bitters,   Lemon twist"
Leap Year Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Orange Flavored Gin,  Sweet Vermouth,  Lemon Juice","1 1/4 oz  Gin, 1/2 oz  Orange Flavored Gin, 1/2 oz  Sweet Vermouth, 1/4 oz  Lemon Juice"
Lasky Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Grape Juice,  Swedish Punch,  Gin","3/4 oz  Grape Juice, 3/4 oz  Swedish Punch, 3/4 oz  Gin"
Lady Love Fizz,Cocktail Classics,Shake with ice and strain into cocktail glass over two ice cubes. Fill with carbonated water and stir.,Cocktail Glass,6 or more ounces," Powdered Sugar,  Lemon Juice,  Egg White,  Gin,  Light cream","1 oz  Powdered Sugar, 1/2 oz  Lemon Juice, 1 oz  Egg White, 2 oz  Gin, 2 oz  Light cream"
Handball Cooler,Vodka,Pour vodka into ice-filled highball glass. Fill almost to top with soda water. Top with orange juice and stir. Add lime.,Highball Glass,7 to 10 ounces," Vodka,  Soda water,  Orange juice","1 1/2 oz  Vodka,   Soda water, 1/2 oz  Orange juice,  Lime wedge "
Hyatt's Jamaican Baa,Cocktail Classics,"Blend, then garnish with 2 slices baa, strawberry, and nutmeg, and serve in a large brandy snifter.",Brandy Snifter,8 to 12 ounces," Light Rum,  White creme de cacao,  Creme de baa,  Vanilla Ice Cream,  half-and-half,  Baa","1/2 oz  Light Rum, 1/2 oz  White creme de cacao, 1/2 oz  Creme de baa, 2 oz  Vanilla Ice Cream, 1 oz  half-and-half, 1 oz  Baa"
H.P.W. Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Sweet Vermouth,  Gin","1 1/2 oz  Dry Vermouth, 1 1/2 oz  Sweet Vermouth, 1 1/2 oz  Gin"
Hot Shot Margarita,Cocktail Classics,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass.",Cocktail Glass,6 or more ounces," Tequila,  Hot Shot Tropical Fruit Liqueur,  Lemon or Lime Juice","2 oz  Tequila, 1 oz  Hot Shot Tropical Fruit Liqueur, 1 1/2 oz  Lemon or Lime Juice"
The Groupie,Vodka,Muddle lemons and sugar in mixing glass. Add vodka and ice and shake. Strain into ice-filled old-fashioned glass and top with ginger beer.,Old-Fashioned Glass,6 to 8 ounces," Lemon wedges,  Superfine sugar,  Citrus-flavored vodka","3 oz  Lemon wedges, 1/2 oz  Superfine sugar, 2 oz  Citrus-flavored vodka,  Ginger beer "
Hot Brandy Flip,Cocktail Classics,"Beat egg, sugar, and brandy; pour into mug and fill with hot milk. Stir. Sprinkle nutmeg on top.",Mug,,"Whole Egg,  Powdered Sugar,  Brandy","1 Whole Egg, 1 oz  Powdered Sugar, 1 1/2 oz  Brandy,  Hot milk "
Grape Nehi,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Raspberry-flavored liqueur,  Lemon juice","1 oz  Vodka, 1 oz  Raspberry-flavored liqueur, 1 oz  Lemon juice"
Hole-in-One Cocktai,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Scotch,  Vermouth,  Lemon Juice,  Orange Bitters","1 3/4 oz  Scotch, 3/4 oz  Vermouth, 1/4 oz  Lemon Juice, 1 oz  Orange Bitters"
Grapefruit Gimlet Royale,Vodka,Shake first four ingredients with ice and strain into chilled cocktail glass. Top with Champagne.,Cocktail Glass,6 or more ounces," Vodka,   grapefruit juice,  Lemon juice,  Simple Syrup,  Chilled Champagne","1 1/2 oz  Vodka, 1 oz   grapefruit juice, 1/4 oz  Lemon juice, 1/4 oz  Simple Syrup, 2 oz  Chilled Champagne"
Hair Raiser,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," 100-proof Vodka,  Rock,Rye,  Lemon Juice","1 1/2 oz  100-proof Vodka, 1/2 oz  Rock and Rye, 1 oz  Lemon Juice"
Godmother,Vodka,Combine in ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Vodka,  Amaretto","1 1/2 oz  Vodka, 3/4 oz  Amaretto"
Green Opal,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Anisette,  Anis","1/2 oz  Gin, 1/2 oz  Anisette, 1 oz  Anis"
Green Hornet (Dry),Cocktail Classics,"Pour lime vodka over ice cubes in a collins glass. Fill with lemon-lime soda, stir, and add a half-slice of lime.",Collins Glass,14 to 16 ounces," Lime Vodka,  Lemon-lime soda,  Powdered Sugar","2 oz  Lime Vodka,   Lemon-lime soda, 1 oz  Powdered Sugar"
Green Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Powdered Sugar,  Egg White,  Lemon Juice,  Gin,  Green creme de menthe","1 oz  Powdered Sugar, 1 oz  Egg White, 1/2 oz  Lemon Juice, 2 oz  Gin, 1 oz  Green creme de menthe"
Godchild,Vodka,Shake well with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Amaretto,  Heavy cream","1 oz  Vodka, 1 oz  Amaretto, 1 oz  Heavy cream"
Grape Vodka Froth,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Vodka,  Grape Juice,  Egg White,  Lemon Juice","1 1/2 oz  Vodka, 1 oz  Grape Juice, 1 oz  Egg White, 1 oz  Lemon Juice"
Grapefruit Nog,Cocktail Classics,Blend all ingredients with a cup of crushed ice at low speed and pour into collins glass over ice cubes.,Collins Glass,14 to 16 ounces," Brandy,  Grapefruit Juice,  Lemon Juice,  Honey,  Whole Egg","1 1/2 oz  Brandy, 1/2 oz  Grapefruit Juice, 1 oz  Lemon Juice, 1 oz  Honey, 1 oz  Whole Egg"
Golden Slipper,Cocktail Classics,Stir with ice and strain into cocktail glass. Float an unbroken egg yolk on top,Cocktail Glass,6 or more ounces," Yellow Chartreuse,  Apricot-Flavored Brandy","3/4 oz  Yellow Chartreuse, 2 oz  Apricot-Flavored Brandy"
Golden Freindship,Cocktail Classics,Mix equal parts in a collins glass over ice and fill with ginger ale. Garnish with an orange spiral and a cherry.,Collins Glass,14 to 16 ounces," Amaretto,  Sweet Vermouth,  Light Rum","  Amaretto,   Sweet Vermouth,   Light Rum"
Golden Frappe,Cocktail Classics,"Stir orange juice, lemon juice, and sugar in collins glass. Add crushed ice and port.",Collins Glass,14 to 16 ounces," Orange Juice,  Lemon Juice,  Sugar,  Port","1 oz  Orange Juice, 2 oz  Lemon Juice, 1 oz  Sugar, 1 oz  Port"
Glass Tower,Vodka,"Pour first five ingredients into Collins glass. Add ice, then fill with lemon-lime soda and stir. Garnish with orange and cherry.",Collins Glass,14 to 16 ounces," Vodka,  Peach schnapps,  White rum,  Triple Sec,  Sambuca,  Lime soda, orange wheel, maraschino cherry","1 oz  Vodka, 1 oz  Peach schnapps, 1 oz  White rum, 1 oz  Triple Sec, 1/2 oz  Sambuca,   Lime soda, orange wheel, maraschino cherry"
Golden Fizz,Cocktail Classics,Shake with ice and strain into highball glass. Fill with carbonated water.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Gin,  Egg Yolk","1/2 oz  Lemon Juice, 1/2 oz  Powdered Sugar, 1 1/2 oz  Gin, 1 oz  Egg Yolk"
Gloom Lifter,Cocktail Classics,Shake with ice and strain into highball glass with ice cubes.,Highball Glass,7 to 10 ounces," Blended whiskey,  Brandy,  Lemon Juice,  Raspberry Syrup,  Sugar,  Egg White","1 oz  Blended whiskey, 1/2 oz  Brandy, 1/2 oz  Lemon Juice, 1 oz  Raspberry Syrup, 1/2 oz  Sugar, 1/2 oz  Egg White"
Glogg,Cocktail Classics,"Pour the wine into a kettle. Insert cheesecloth bag containing remaining ingredients and boil slowly for 15 minutes, stirring occasionally. Add 1 lb. each blanched almonds and seedless raisins and continue to boil for additional 15 minutes. Remove kettle from stove and place wire grill containing 1 lb. lump sugar over opening. Pour one 750-ml Brandy over sugar, making sure to saturate all of it. Then light sugar with match and let it flame. After sugar has melted, replace kettle cover to extinguish flame. Stir again and remove spice bag. Serve hot in punch cups with a few almonds and raisins.",Punch Cup,3 to 4 ounces," Wine,  Dried Orange Peel,  Cinnamon sticks, cloves","2 750-ml  Wine (Port, Cream Sherry, Claret, Burgundy, or Madeira), 2 oz  Dried Orange Peel, 2 oz  Cinnamon sticks, 20 Cardamom Seeds , 25 cloves"
Georgia Peach,Vodka,Stir first three ingredients in Collins glass. Add ice and stir again. Fill with lemonade.,Collins Glass,14 to 16 ounces," Vodka,  Peach schnapps,  Grenadine","1 1/2 oz  Vodka, 1/2 oz  Peach schnapps, 1 oz  Grenadine,  Lemonade "
Georgia Mule,Vodka,"Muddle 1 peach slice in Collins glass. Add vodka, lemon juice, and bitters, then stir. Fill with ice and ginger beer; stir again. Garnish with peach slice.",Collins Glass,14 to 16 ounces," Peach slice, skinned,  Vodka,  Lemon juice,  Peach bitters,  Ginger beer,  Peach slice","1 oz  Peach slice, skinned, 1 1/2 oz  Vodka, 1/2 oz  Lemon juice, 2 oz  Peach bitters,   Ginger beer,   Peach slice"
Gentle Ben,Vodka,Shake first three ingredients with ice and pour into ice-filled Collins glass. Fill with orange juice and stir. Garnish with orange and cherry.,Collins Glass,14 to 16 ounces," Vodka,  Gin,  Blanco tequila,  Orange wheel, maraschino cherry","1 oz  Vodka, 1 oz  Gin, 1 oz  Blanco tequila,  Orange juice ,   Orange wheel, maraschino cherry"
East India Cocktail No. 1,Brandy,Shake with ice and strain into chilled cocktail glass. Add lemon twist and cherry.,Cocktail Glass,6 or more ounces," Brandy,  Jamaica Rum,  Triple Sec,  Pineapple Juice,  Angostura Bitters,  Lemon twist, maraschino cherry","1 1/2 oz  Brandy, 1/2 oz  Jamaica Rum, 1/2 oz  Triple Sec, 1/2 oz  Pineapple Juice, 1 oz  Angostura Bitters,   Lemon twist, maraschino cherry"
General Harrison's Eggnog,Cocktail Classics,Shake with ice and strain into collins glass. Fill glass with red wine and stir. Sprinkle nutmeg on top.,Collins Glass,14 to 16 ounces," Whole Egg,  Powdered Sugar,  Red wine","1 oz  Whole Egg, 1 oz  Powdered Sugar,   Red wine"
Gables Collins,Vodka,Shake first four ingredients with ice and strain into ice-filled Collins glass. Fill with soda water. Garnish with lemon and pineapple.,Collins Glass,14 to 16 ounces," Vodka,  Creme de noyaux,  Lemon juice,  Pineapple Juice,  Soda water,  Lemon wheel, pineapple chunk","1 1/2 oz  Vodka, 1 oz  Creme de noyaux, 1/2 oz  Lemon juice, 1/2 oz  Pineapple Juice,   Soda water,   Lemon wheel, pineapple chunk"
Frozen Brandy and Rum,Cocktail Classics,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Brandy,  Light Rum,  Lemon Juice,  Egg Yolk,  Powdered Sugar","1 1/2 oz  Brandy, 1 oz  Light Rum, 1 oz  Lemon Juice, 1 oz  Egg Yolk, 1 oz  Powdered Sugar"
